DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
04/08/2008,222.5,225.0,220.0,222.5,1,1
04/15/2008,222.5,225.0,220.0,222.5,1,1
04/22/2008,222.5,225.0,220.0,222.5,1,1
04/29/2008,222.5,225.0,220.0,222.5,1,1
05/06/2008,222.5,222.0,222.0,222.0,300,1
05/13/2008,222.0,222.0,222.0,222.0,1,1
05/20/2008,222.0,240.0,240.0,240.0,125,1
05/27/2008,240.0,240.0,240.0,240.0,1,1
06/03/2008,240.0,233.0,228.0,230.5,2200,1
06/10/2008,230.5,233.0,230.0,231.5,2800,1
06/17/2008,231.5,243.0,230.0,236.5,2065,1
06/24/2008,236.5,240.0,227.0,233.5,2000,1
07/01/2008,233.5,245.0,230.0,237.5,5300,1
07/08/2008,237.5,248.0,225.0,236.5,7550,1
07/15/2008,236.5,248.0,230.0,239.0,6025,1
07/22/2008,239.0,248.0,230.0,239.0,1,1
07/29/2008,239.0,248.0,230.0,239.0,1,1
08/05/2008,239.0,245.0,235.0,240.0,9200,1
08/12/2008,240.0,240.0,235.0,237.5,8695,1
08/19/2008,237.5,248.0,225.0,236.5,12450,1
08/26/2008,236.5,240.0,225.0,232.5,5875,1
09/02/2008,232.5,235.0,225.0,230.0,3100,1
09/09/2008,230.0,225.0,220.0,222.5,900,1
09/16/2008,222.5,230.0,219.0,224.5,3575,1
09/23/2008,224.5,220.0,210.0,215.0,1500,1
09/30/2008,215.0,220.0,210.0,215.0,3250,1
10/07/2008,215.0,220.0,200.0,210.0,4750,1
10/14/2008,210.0,220.0,195.0,207.5,650,1
10/21/2008,207.5,210.0,190.0,200.0,650,1
10/28/2008,200.0,200.0,185.0,192.5,800,1
11/04/2008,192.5,195.0,170.0,182.5,3500,1
11/11/2008,182.5,190.0,170.0,180.0,1200,1
11/18/2008,180.0,180.0,160.0,170.0,1650,1
11/25/2008,170.0,190.0,145.0,167.5,1350,1
12/02/2008,167.5,190.0,155.0,172.5,975,1
12/09/2008,172.5,190.0,155.0,172.5,975,1
12/16/2008,172.5,175.0,150.0,162.5,1000,1
12/22/2008,162.5,175.0,150.0,162.5,1,1
01/06/2009,162.5,165.0,145.0,155.0,1150,1
01/13/2009,155.0,165.0,150.0,157.5,1500,1
01/20/2009,157.5,165.0,145.0,155.0,1250,1
01/27/2009,155.0,165.0,150.0,157.5,1700,1
02/03/2009,157.5,162.0,145.0,153.5,2050,1
02/10/2009,153.5,155.0,145.0,150.0,250,1
02/17/2009,150.0,150.0,135.0,142.5,600,1
02/24/2009,142.5,141.0,133.0,137.0,2300,1
03/03/2009,137.0,145.0,130.0,137.5,3200,1
03/10/2009,137.5,145.0,135.0,140.0,1200,1
03/17/2009,140.0,138.0,120.0,129.0,800,1
03/24/2009,129.0,135.0,120.0,127.5,1487,1
03/31/2009,127.5,145.0,125.0,135.0,175,1
04/07/2009,135.0,135.0,125.0,130.0,250,1
04/14/2009,130.0,128.0,120.0,124.0,1400,1
04/21/2009,124.0,125.0,125.0,125.0,100,1
04/28/2009,125.0,130.0,118.0,124.0,1450,1
05/05/2009,124.0,140.0,125.0,132.5,2075,1
05/12/2009,132.5,140.0,125.0,132.5,1,1
05/19/2009,132.5,130.0,120.0,125.0,1000,1
05/26/2009,125.0,125.0,115.0,120.0,1930,1
06/02/2009,120.0,120.0,115.0,117.5,1300,1
06/09/2009,117.5,130.0,115.0,122.5,3575,1
06/16/2009,122.5,128.0,110.0,119.0,3950,1
06/23/2009,119.0,120.0,105.0,112.5,7200,1
06/30/2009,112.5,118.0,105.0,111.5,7025,1
07/07/2009,111.5,118.0,105.0,111.5,7025,1
07/14/2009,111.5,115.0,100.0,107.5,10425,1
07/21/2009,107.5,112.0,100.0,106.0,21050,1
07/28/2009,106.0,110.0,100.0,105.0,13825,1
08/04/2009,105.0,110.0,102.0,106.0,16550,1
08/11/2009,106.0,110.0,100.0,105.0,13450,1
08/18/2009,105.0,110.0,102.0,106.0,17750,1
08/25/2009,106.0,110.0,100.0,105.0,12100,1
09/01/2009,105.0,110.0,100.0,105.0,13150,1
09/08/2009,105.0,110.0,100.0,105.0,9285,1
09/15/2009,105.0,110.0,97.0,103.5,8400,1
09/22/2009,103.5,110.0,98.0,104.0,7950,1
09/29/2009,104.0,110.0,102.0,106.0,5385,1
10/06/2009,106.0,107.0,100.0,103.5,6775,1
10/13/2009,103.5,110.0,97.0,103.5,5865,1
10/20/2009,103.5,110.0,105.0,107.5,2050,1
10/27/2009,107.5,110.0,100.0,105.0,8550,1
11/03/2009,105.0,110.0,100.0,105.0,5325,1
11/10/2009,105.0,108.0,100.0,104.0,2025,1
11/17/2009,104.0,112.0,105.0,108.5,300,1
11/24/2009,108.5,115.0,105.0,110.0,1825,1
12/01/2009,110.0,115.0,106.0,110.5,425,1
12/08/2009,110.5,115.0,106.0,110.5,1,1
12/18/2009,110.5,115.0,106.0,110.5,1,1
12/22/2009,110.5,135.0,115.0,125.0,3525,1
12/29/2009,125.0,135.0,115.0,125.0,1,1
01/05/2010,125.0,137.0,115.0,126.0,6875,1
01/12/2010,126.0,135.0,120.0,127.5,2550,1
01/19/2010,127.5,140.0,125.0,132.5,5550,1
01/26/2010,132.5,135.0,120.0,127.5,1830,1
02/02/2010,127.5,137.0,125.0,131.0,5000,1
02/09/2010,131.0,140.0,125.0,132.5,6975,1
02/16/2010,132.5,140.0,125.0,132.5,1,1
02/23/2010,132.5,135.0,125.0,130.0,7050,1
03/02/2010,130.0,137.0,125.0,131.0,3775,1
03/09/2010,131.0,140.0,125.0,132.5,1400,1
03/16/2010,132.5,137.0,120.0,128.5,2200,1
03/23/2010,128.5,140.0,120.0,130.0,1400,1
03/30/2010,130.0,135.0,125.0,130.0,925,1
04/06/2010,130.0,130.0,125.0,127.5,300,1
04/13/2010,127.5,140.0,130.0,135.0,2300,1
04/20/2010,135.0,140.0,120.0,130.0,1550,1
04/27/2010,130.0,125.0,122.0,123.5,450,1
