DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
04/08/2008,0.0,250.0,235.0,242.5,2500,1
04/15/2008,242.5,242.0,242.0,242.0,1500,1
04/22/2008,242.0,250.0,240.0,245.0,1500,1
04/29/2008,245.0,245.0,230.0,237.5,500,1
05/06/2008,237.5,245.0,230.0,237.5,1,1
05/13/2008,237.5,250.0,235.0,242.5,1600,1
05/20/2008,242.5,250.0,240.0,245.0,3062,1
05/27/2008,245.0,250.0,240.0,245.0,3500,1
06/03/2008,245.0,252.0,243.0,247.5,2250,1
06/10/2008,247.5,255.0,243.0,249.0,1175,1
06/17/2008,249.0,250.0,240.0,245.0,5730,1
06/24/2008,245.0,265.0,240.0,252.5,3375,1
07/01/2008,252.5,265.0,240.0,252.5,1675,1
07/08/2008,252.5,255.0,248.0,251.5,2550,1
07/15/2008,251.5,258.0,248.0,253.0,3000,1
07/22/2008,253.0,258.0,248.0,253.0,1,1
07/29/2008,253.0,258.0,248.0,253.0,1,1
08/05/2008,253.0,250.0,250.0,250.0,400,1
08/12/2008,250.0,250.0,240.0,245.0,1000,1
08/19/2008,250.0,250.0,240.0,245.0,1850,1
08/26/2008,245.0,260.0,250.0,255.0,1200,1
09/02/2008,245.0,260.0,250.0,255.0,1,1
09/09/2008,255.0,260.0,230.0,245.0,2230,1
09/16/2008,245.0,248.0,240.0,244.0,1175,1
09/23/2008,244.0,240.0,240.0,240.0,150,1
09/30/2008,244.0,240.0,240.0,240.0,1,1
10/07/2008,240.0,250.0,235.0,242.5,1750,1
10/14/2008,242.5,250.0,235.0,242.5,150,1
10/21/2008,242.5,235.0,215.0,225.0,1075,1
10/28/2008,225.0,255.0,255.0,255.0,350,1
11/04/2008,255.0,225.0,210.0,217.5,250,1
11/11/2008,255.0,225.0,210.0,217.5,1,1
11/18/2008,217.5,200.0,188.0,194.0,1675,1
11/25/2008,194.0,200.0,180.0,190.0,900,1
12/02/2008,190.0,200.0,188.0,194.0,425,1
12/09/2008,194.0,200.0,188.0,194.0,425,1
12/16/2008,194.0,185.0,155.0,170.0,2960,1
12/22/2008,170.0,177.0,177.0,177.0,75,1
01/06/2009,177.0,183.0,170.0,176.5,350,1
01/13/2009,176.5,185.0,180.0,182.5,1000,1
01/20/2009,182.5,185.0,175.0,180.0,1255,1
01/27/2009,180.0,170.0,160.0,165.0,200,1
02/03/2009,180.0,170.0,160.0,165.0,1,1
02/10/2009,165.0,150.0,150.0,150.0,100,1
02/17/2009,150.0,165.0,160.0,162.5,900,1
02/24/2009,162.5,170.0,160.0,165.0,1900,1
03/03/2009,165.0,160.0,150.0,155.0,1150,1
03/10/2009,155.0,170.0,150.0,160.0,900,1
03/17/2009,160.0,150.0,140.0,145.0,550,1
03/24/2009,145.0,155.0,140.0,147.5,450,1
03/31/2009,147.5,150.0,140.0,145.0,300,1
04/07/2009,145.0,145.0,130.0,137.5,2250,1
04/14/2009,137.5,130.0,130.0,130.0,400,1
04/21/2009,130.0,145.0,125.0,135.0,2125,1
04/28/2009,135.0,145.0,133.0,139.0,1875,1
05/05/2009,139.0,140.0,140.0,140.0,125,1
05/12/2009,140.0,145.0,135.0,140.0,1050,1
05/19/2009,140.0,144.0,130.0,137.0,4425,1
05/26/2009,137.0,140.0,125.0,132.5,6500,1
06/02/2009,132.5,145.0,125.0,135.0,7375,1
06/09/2009,135.0,140.0,125.0,132.5,8850,1
06/16/2009,132.5,140.0,120.0,130.0,9550,1
06/23/2009,130.0,140.0,120.0,130.0,9200,1
06/30/2009,130.0,135.0,118.0,126.5,4925,1
07/07/2009,126.5,135.0,118.0,126.5,4925,1
07/14/2009,126.5,135.0,120.0,127.5,3605,1
07/21/2009,127.5,138.0,117.0,127.5,1755,1
07/28/2009,127.5,133.0,118.0,125.5,1200,1
08/04/2009,125.5,136.0,110.0,123.0,7175,1
08/11/2009,123.0,138.0,115.0,126.5,9050,1
08/18/2009,126.5,135.0,120.0,127.5,4450,1
08/25/2009,127.5,135.0,115.0,125.0,4475,1
09/01/2009,125.0,145.0,120.0,132.5,3015,1
09/08/2009,132.5,135.0,115.0,125.0,4075,1
09/15/2009,125.0,137.0,115.0,126.0,3883,1
09/22/2009,126.0,140.0,115.0,127.5,6350,1
09/29/2009,127.5,130.0,115.0,122.5,3020,1
10/06/2009,122.5,138.0,117.0,127.5,2725,1
10/13/2009,127.5,140.0,117.0,128.5,2075,1
10/20/2009,128.5,142.0,115.0,128.5,4475,1
10/27/2009,128.5,140.0,115.0,127.5,4300,1
11/03/2009,127.5,143.0,120.0,131.5,3800,1
11/10/2009,131.5,141.0,115.0,128.0,2675,1
11/17/2009,128.0,125.0,123.0,124.0,700,1
11/24/2009,124.0,142.0,120.0,131.0,3500,1
12/01/2009,131.0,150.0,135.0,142.5,3125,1
12/08/2009,131.0,150.0,135.0,142.5,1,1
12/18/2009,131.0,150.0,135.0,142.5,1,1
12/22/2009,142.5,157.0,136.0,146.5,1534,1
12/29/2009,146.5,80.0,80.0,80.0,1500,1
01/05/2010,80.0,165.0,140.0,152.5,3500,1
01/12/2010,152.5,165.0,145.0,155.0,2475,1
01/19/2010,155.0,160.0,141.0,150.5,2250,1
01/26/2010,150.5,160.0,140.0,150.0,1375,1
02/02/2010,150.0,165.0,140.0,152.5,2025,1
02/09/2010,152.5,160.0,145.0,152.5,2250,1
02/16/2010,152.5,160.0,145.0,152.5,1,1
02/23/2010,152.5,170.0,140.0,155.0,3150,1
03/02/2010,155.0,160.0,140.0,150.0,2900,1
03/09/2010,150.0,158.0,138.0,148.0,2500,1
03/16/2010,148.0,160.0,135.0,147.5,4075,1
03/23/2010,147.5,175.0,155.0,165.0,575,1
03/30/2010,165.0,152.0,145.0,148.5,900,1
04/06/2010,148.5,155.0,150.0,152.5,840,1
04/13/2010,152.5,165.0,150.0,157.5,2350,1
04/20/2010,157.5,160.0,137.0,148.5,1950,1
04/27/2010,148.5,174.0,142.0,158.0,2450,1
05/04/2010,158.0,168.0,135.0,151.5,910,1
05/11/2010,151.5,170.0,140.0,155.0,4100,1
05/18/2010,155.0,165.0,142.0,153.5,6740,1
05/25/2010,153.5,165.0,140.0,152.5,8725,1
06/01/2010,152.5,165.0,145.0,155.0,6490,1
06/08/2010,155.0,165.0,140.0,152.5,8625,1
06/15/2010,152.5,167.0,145.0,156.0,6925,1
06/22/2010,156.0,160.0,138.0,149.0,6115,1
06/29/2010,149.0,167.0,139.0,153.0,10175,1
07/06/2010,139.0,167.0,139.0,153.0,1,1
07/13/2010,153.0,165.0,140.0,152.5,4955,1
07/20/2010,152.5,158.0,140.0,149.0,4825,1
07/27/2010,149.0,160.0,140.0,150.0,3500,1
08/03/2010,150.0,166.0,140.0,153.0,13830,1
08/10/2010,153.0,172.0,145.0,158.5,4207,1
08/17/2010,158.5,175.0,145.0,160.0,5275,1
08/24/2010,160.0,180.0,148.0,164.0,6000,1
08/31/2010,164.0,180.0,150.0,165.0,3500,1
09/07/2010,165.0,185.0,150.0,167.5,2875,1
09/14/2010,167.5,170.0,155.0,162.5,1550,1
09/21/2010,162.5,178.0,160.0,169.0,900,1
09/28/2010,169.0,175.0,155.0,165.0,3000,1
10/05/2010,165.0,175.0,155.0,165.0,2650,1
10/12/2010,165.0,200.0,175.0,187.5,4850,1
10/19/2010,187.5,180.0,165.0,172.5,1190,1
10/26/2010,172.5,185.0,165.0,175.0,2515,1
11/02/2010,175.0,190.0,165.0,177.5,2925,1
11/09/2010,177.5,188.0,165.0,176.5,2800,1
11/16/2010,176.5,185.0,170.0,177.5,375,1
11/23/2010,177.5,190.0,165.0,177.5,1800,1
11/30/2010,177.5,175.0,175.0,175.0,25,1
12/07/2010,175.0,195.0,185.0,190.0,2680,1
12/14/2010,190.0,200.0,185.0,192.5,2050,1
12/21/2010,192.5,200.0,186.0,193.0,2300,1
12/28/2010,193.0,200.0,186.0,193.0,1,1
01/04/2011,193.0,215.0,190.0,202.5,975,1
01/11/2011,202.5,210.0,195.0,202.5,3110,1
01/18/2011,202.5,210.0,200.0,205.0,1900,1
01/25/2011,205.0,215.0,195.0,205.0,2200,1
02/01/2011,205.0,230.0,215.0,222.5,825,1
02/08/2011,222.5,240.0,210.0,225.0,2375,1
02/15/2011,225.0,246.0,230.0,238.0,875,1
02/22/2011,238.0,222.0,220.0,221.0,150,1
03/01/2011,221.0,255.0,235.0,245.0,2100,1
03/08/2011,245.0,250.0,225.0,237.5,1375,1
03/15/2011,237.5,275.0,260.0,267.5,950,1
03/22/2011,267.5,270.0,250.0,260.0,350,1
03/29/2011,260.0,270.0,250.0,260.0,1,1
04/05/2011,260.0,270.0,250.0,260.0,1,1
04/12/2011,260.0,270.0,250.0,260.0,1,1
04/19/2011,260.0,295.0,272.0,283.5,750,1
04/26/2011,283.5,290.0,275.0,282.5,2475,1
05/03/2011,282.5,270.0,260.0,265.0,1800,1
05/10/2011,265.0,280.0,260.0,270.0,2200,1
05/17/2011,270.0,285.0,260.0,272.5,4100,1
05/24/2011,272.5,285.0,260.0,272.5,1,1
05/31/2011,272.5,285.0,260.0,272.5,6275,1
06/07/2011,272.5,282.0,255.0,268.5,4750,1
06/14/2011,268.5,285.0,270.0,277.5,7630,1
06/21/2011,277.5,285.0,270.0,277.5,1,1
06/28/2011,277.5,285.0,265.0,275.0,7601,1
07/05/2011,275.0,290.0,265.0,277.5,14320,1
07/12/2011,277.5,285.0,265.0,275.0,11485,1
07/19/2011,275.0,285.0,270.0,277.5,6410,1
07/26/2011,277.5,290.0,265.0,277.5,4173,1
08/02/2011,277.5,285.0,265.0,275.0,5583,1
08/09/2011,275.0,290.0,270.0,280.0,5243,1
08/16/2011,280.0,288.0,270.0,279.0,4035,1
08/23/2011,279.0,290.0,270.0,280.0,5208,1
08/30/2011,280.0,285.0,275.0,280.0,1987,1
09/06/2011,280.0,293.0,275.0,284.0,2675,1
09/13/2011,284.0,295.0,275.0,285.0,3246,1
09/20/2011,285.0,300.0,275.0,287.5,7629,1
09/27/2011,287.5,300.0,275.0,287.5,2950,1
10/04/2011,287.5,303.0,275.0,289.0,2708,1
10/11/2011,289.0,303.0,280.0,291.5,1825,1
10/18/2011,291.5,302.0,280.0,291.0,3224,1
10/25/2011,291.0,300.0,290.0,295.0,950,1
11/01/2011,295.0,300.0,280.0,290.0,3254,1
11/08/2011,290.0,295.0,270.0,282.5,1175,1
11/15/2011,282.5,300.0,270.0,285.0,1475,1
11/22/2011,285.0,300.0,270.0,285.0,1300,1
11/29/2011,285.0,300.0,270.0,285.0,1,1
12/06/2011,285.0,290.0,270.0,280.0,275,1
12/13/2011,280.0,300.0,285.0,292.5,475,1
12/20/2011,292.5,310.0,295.0,302.5,1675,1
12/27/2011,302.5,310.0,290.0,300.0,1160,1
01/03/2012,300.0,310.0,290.0,300.0,1,1
01/10/2012,300.0,305.0,292.0,298.5,1000,1
01/17/2012,298.5,305.0,290.0,297.5,800,1
01/24/2012,297.5,300.0,285.0,292.5,260,1
01/31/2012,292.5,312.0,295.0,303.5,1385,1
02/07/2012,303.5,300.0,295.0,297.5,475,1
02/14/2012,297.5,300.0,290.0,295.0,650,1
02/21/2012,295.0,300.0,290.0,295.0,1,1
02/28/2012,295.0,298.0,290.0,294.0,750,1
03/06/2012,294.0,298.0,290.0,294.0,1,1
03/13/2012,294.0,295.0,280.0,287.5,550,1
03/20/2012,287.5,295.0,280.0,287.5,375,1
03/27/2012,287.5,290.0,290.0,290.0,300,1
04/03/2012,290.0,290.0,280.0,285.0,375,1
04/10/2012,285.0,285.0,285.0,285.0,150,1
04/17/2012,285.0,285.0,270.0,277.5,1020,1
04/24/2012,277.5,270.0,270.0,270.0,700,1
05/01/2012,270.0,275.0,255.0,265.0,2950,1
05/08/2012,265.0,270.0,250.0,260.0,2615,1
05/15/2012,260.0,265.0,240.0,252.5,3763,1
05/22/2012,252.5,266.0,240.0,253.0,7850,1
05/29/2012,253.0,255.0,240.0,247.5,5841,1
06/05/2012,247.5,250.0,225.0,237.5,6975,1
06/12/2012,237.5,245.0,225.0,235.0,4050,1
06/19/2012,235.0,245.0,220.0,232.5,8365,1
06/26/2012,232.5,245.0,220.0,232.5,7562,1
07/03/2012,232.5,245.0,220.0,232.5,7587,1
07/10/2012,232.5,245.0,220.0,232.5,1500,1
07/17/2012,232.5,245.0,220.0,232.5,5567,1
07/24/2012,232.5,240.0,220.0,230.0,9007,1
07/31/2012,230.0,250.0,225.0,237.5,3317,1
08/07/2012,237.5,255.0,225.0,240.0,10255,1
08/14/2012,240.0,255.0,230.0,242.5,7010,1
08/21/2012,242.5,255.0,233.0,244.0,2961,1
08/28/2012,244.0,257.0,232.0,244.5,7078,1
09/04/2012,244.5,260.0,235.0,247.5,3957,1
09/11/2012,247.5,257.0,238.0,247.5,3200,1
09/18/2012,247.5,255.0,235.0,245.0,1225,1
09/25/2012,245.0,265.0,235.0,250.0,4702,1
10/02/2012,250.0,265.0,235.0,250.0,1,1
10/09/2012,250.0,260.0,230.0,245.0,5089,1
10/16/2012,245.0,260.0,235.0,247.5,2500,1
10/23/2012,247.5,255.0,230.0,242.5,1575,1
10/30/2012,242.5,260.0,235.0,247.5,1175,1
11/06/2012,247.5,260.0,235.0,247.5,1698,1
11/13/2012,247.5,260.0,236.0,248.0,2750,1
11/20/2012,248.0,255.0,235.0,245.0,3475,1
11/27/2012,245.0,255.0,235.0,245.0,1,1
12/04/2012,245.0,255.0,238.0,246.5,563,1
12/11/2012,246.5,270.0,255.0,262.5,770,1
12/18/2012,262.5,260.0,250.0,255.0,500,1
12/24/2012,255.0,270.0,240.0,255.0,625,1
12/31/2012,255.0,270.0,240.0,255.0,1,1
01/08/2013,255.0,260.0,250.0,255.0,300,1
01/15/2013,255.0,280.0,260.0,270.0,1375,1
01/22/2013,270.0,275.0,250.0,262.5,1525,1
01/29/2013,262.5,270.0,240.0,255.0,2875,1
02/05/2013,255.0,265.0,240.0,252.5,1900,1
02/12/2013,252.5,265.0,240.0,252.5,900,1
02/19/2013,252.5,265.0,240.0,252.5,450,1
02/26/2013,252.5,260.0,245.0,252.5,810,1
03/05/2013,252.5,260.0,245.0,252.5,325,1
03/12/2013,252.5,265.0,240.0,252.5,1250,1
03/19/2013,252.5,250.0,245.0,247.5,205,1
03/26/2013,247.5,260.0,235.0,247.5,875,1
04/02/2013,247.5,250.0,245.0,247.5,450,1
