DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
04/08/2008,0.0,255.0,250.0,252.5,1500,1
04/15/2008,252.5,255.0,240.0,247.5,1500,1
04/22/2008,247.5,260.0,250.0,255.0,1500,1
04/29/2008,255.0,260.0,248.0,254.0,1910,1
05/06/2008,254.0,265.0,250.0,257.5,1425,1
05/13/2008,257.5,265.0,250.0,257.5,3200,1
05/20/2008,257.5,260.0,250.0,255.0,8500,1
05/27/2008,255.0,262.0,250.0,256.0,4300,1
06/03/2008,256.0,265.0,250.0,257.5,4050,1
06/10/2008,257.5,262.0,256.0,259.0,4300,1
06/17/2008,259.0,265.0,250.0,257.5,5825,1
06/24/2008,257.5,268.0,255.0,261.5,4900,1
07/01/2008,261.5,265.0,255.0,260.0,1765,1
07/08/2008,260.0,273.0,248.0,260.5,4025,1
07/15/2008,260.5,273.0,250.0,261.5,3250,1
07/22/2008,260.5,273.0,250.0,261.5,3250,1
07/29/2008,260.5,273.0,250.0,261.5,3250,1
08/05/2008,261.5,265.0,255.0,260.0,1100,1
08/12/2008,260.0,260.0,255.0,257.5,700,1
08/19/2008,257.5,272.0,250.0,261.0,1400,1
08/26/2008,261.0,265.0,250.0,257.5,2325,1
09/02/2008,257.5,260.0,250.0,255.0,800,1
09/09/2008,255.0,260.0,250.0,255.0,2550,1
09/16/2008,255.0,255.0,250.0,252.5,450,1
09/23/2008,252.5,265.0,245.0,255.0,1450,1
09/30/2008,255.0,260.0,250.0,255.0,3000,1
10/07/2008,255.0,260.0,245.0,252.5,4400,1
10/14/2008,252.5,255.0,240.0,247.5,700,1
10/21/2008,247.5,255.0,225.0,240.0,1650,1
10/28/2008,240.0,240.0,240.0,240.0,75,1
11/04/2008,240.0,245.0,225.0,235.0,1750,1
11/11/2008,235.0,230.0,225.0,227.5,350,1
11/18/2008,227.5,210.0,190.0,200.0,1180,1
11/25/2008,200.0,220.0,215.0,217.5,500,1
12/02/2008,217.5,210.0,195.0,202.5,600,1
12/09/2008,202.5,210.0,195.0,202.5,600,1
12/16/2008,202.5,195.0,185.0,190.0,1250,1
12/22/2008,190.0,225.0,200.0,212.5,500,1
01/06/2009,212.5,225.0,200.0,212.5,1,1
01/13/2009,212.5,225.0,200.0,212.5,1,1
01/20/2009,212.5,225.0,195.0,210.0,928,1
01/27/2009,210.0,175.0,170.0,172.5,500,1
02/03/2009,172.5,185.0,170.0,177.5,775,1
02/10/2009,177.5,188.0,175.0,181.5,1300,1
02/17/2009,181.5,187.0,165.0,176.0,675,1
02/24/2009,176.0,175.0,160.0,167.5,575,1
03/03/2009,167.5,180.0,160.0,170.0,650,1
03/10/2009,170.0,175.0,165.0,170.0,520,1
03/17/2009,170.0,170.0,155.0,162.5,2500,1
03/24/2009,162.5,168.0,150.0,159.0,1975,1
03/31/2009,159.0,170.0,160.0,165.0,4900,1
