DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
04/08/2008,125.62,252.50,240.00,249.38,15001.00,1
04/15/2008,248.88,250.00,239.25,247.50,14001.00,1
04/22/2008,247.50,253.25,241.25,250.12,14001.00,1
04/29/2008,250.62,252.50,238.25,248.50,11986.00,1
05/06/2008,247.25,251.75,240.00,248.00,12326.00,1
05/13/2008,248.25,253.25,240.50,249.50,17151.00,1
05/20/2008,249.50,256.50,246.25,254.00,21187.00,1
05/27/2008,255.00,258.00,246.25,255.25,17216.00,1
06/03/2008,254.25,256.50,244.00,252.88,12500.00,1
06/10/2008,251.38,255.00,247.25,252.38,10175.00,1
06/17/2008,254.38,259.00,245.00,254.25,18480.00,1
06/24/2008,254.75,263.25,245.50,256.88,15615.00,1
07/01/2008,258.12,265.00,247.50,258.75,14580.00,1
07/08/2008,258.75,265.25,245.25,258.38,18155.00,1
07/15/2008,258.38,266.00,248.25,259.62,17955.00,1
07/22/2008,259.38,266.00,248.25,259.62,6942.00,1
07/29/2008,259.38,266.00,248.25,259.62,6942.00,1
08/05/2008,259.38,261.00,251.25,258.50,12400.00,1
08/12/2008,256.25,256.25,248.75,253.75,10895.00,1
08/19/2008,258.75,265.00,246.25,258.12,17265.00,1
08/26/2008,254.38,260.00,248.75,255.00,10525.00,1
09/02/2008,253.75,258.75,251.25,255.00,4563.50,1
09/09/2008,256.25,257.50,246.25,251.88,5880.00,1
09/16/2008,246.88,249.50,243.50,246.50,5800.00,1
09/23/2008,247.75,248.75,241.25,245.00,3500.00,1
09/30/2008,246.75,248.25,240.00,245.75,6651.00,1
10/07/2008,245.00,250.00,235.00,243.75,12300.00,1
10/14/2008,243.75,248.75,231.25,241.88,1900.00,1
10/21/2008,242.38,243.00,219.00,234.25,10400.00,1
10/28/2008,235.00,242.50,231.25,240.62,2155.00,1
11/04/2008,238.12,232.50,212.50,225.00,6750.00,1
11/11/2008,235.62,228.75,210.00,223.75,2901.00,1
11/18/2008,218.75,210.00,192.75,203.50,5680.00,1
11/25/2008,203.50,215.00,190.00,206.25,4380.00,1
12/02/2008,202.50,208.75,187.00,201.00,2350.00,1
12/09/2008,201.00,208.75,187.00,201.00,2350.00,1
12/16/2008,202.25,198.75,172.50,190.62,6127.00,1
12/22/2008,190.62,204.25,184.25,198.00,1026.00,1
01/06/2009,195.50,200.75,178.75,193.50,2276.00,1
01/13/2009,189.75,197.50,178.75,191.88,4751.00,1
01/20/2009,199.38,205.00,185.00,197.50,4361.00,1
01/27/2009,185.00,176.25,168.75,172.50,2450.00,1
02/03/2009,177.50,179.25,165.00,174.00,3701.00,1
02/10/2009,174.00,173.25,165.00,170.38,2300.00,1
02/17/2009,169.88,175.00,161.25,169.75,2425.00,1
02/24/2009,167.75,169.00,155.75,164.88,5900.00,1
03/03/2009,167.38,171.25,152.50,165.62,6055.00,1
03/10/2009,163.12,170.00,155.00,165.00,3690.00,1
03/17/2009,166.25,163.25,146.25,157.88,4500.00,1
03/24/2009,153.62,159.00,140.00,153.00,5862.00,1
03/31/2009,152.25,160.00,143.75,155.00,8020.00,1
04/07/2009,153.75,152.50,138.75,148.12,10560.00,1
04/14/2009,146.88,144.50,134.50,141.38,52600.00,1
04/21/2009,142.62,150.00,136.25,145.62,15665.00,1
04/28/2009,145.12,149.50,137.25,145.25,12230.00,1
05/05/2009,145.25,151.25,141.25,148.25,17900.00,1
05/12/2009,147.50,151.25,138.75,146.25,13701.00,1
05/19/2009,146.25,148.50,137.50,144.25,15135.00,1
05/26/2009,144.25,145.50,135.50,141.50,15205.00,1
06/02/2009,142.25,147.00,134.25,142.00,15775.00,1
06/09/2009,140.50,145.50,135.50,141.12,14650.00,1
06/16/2009,140.62,145.75,132.50,139.12,18024.00,1
06/23/2009,140.38,144.50,130.75,138.25,17950.00,1
06/30/2009,137.00,140.25,129.50,135.50,16350.00,1
07/07/2009,135.50,140.25,129.50,135.50,16350.00,1
07/14/2009,136.75,142.00,130.00,137.25,16730.00,1
07/21/2009,137.25,142.50,129.25,137.12,25600.00,1
07/28/2009,137.12,140.25,127.50,134.88,18365.00,1
08/04/2009,134.88,140.25,126.25,134.50,26705.00,1
08/11/2009,137.00,143.75,127.50,138.12,25650.00,1
08/18/2009,135.62,141.25,128.00,135.88,27350.00,1
08/25/2009,135.88,141.25,127.50,135.00,23750.00,1
09/01/2009,135.00,143.75,130.00,138.12,21780.00,1
09/08/2009,138.12,140.00,128.00,135.25,16540.00,1
09/15/2009,135.25,140.50,128.00,134.88,15593.00,1
09/22/2009,134.88,141.25,124.50,134.12,16915.00,1
09/29/2009,134.12,140.00,129.25,135.25,12515.00,1
10/06/2009,135.25,138.75,126.50,133.62,12650.00,1
10/13/2009,134.88,142.50,126.00,136.12,22465.00,1
10/20/2009,136.12,144.25,128.25,138.12,10600.00,1
10/27/2009,139.38,146.25,126.25,138.75,22661.00,1
11/03/2009,141.25,149.00,129.50,142.38,17060.00,1
11/10/2009,141.12,147.25,128.75,140.50,9760.00,1
11/17/2009,141.75,145.50,133.25,143.12,8465.00,1
11/24/2009,140.62,148.00,133.00,142.75,8150.00,1
12/01/2009,144.00,151.50,141.75,148.38,6750.00,1
12/08/2009,145.50,151.50,141.50,148.38,2711.50,1
12/18/2009,145.50,151.50,141.50,148.38,2711.50,1
12/22/2009,148.38,159.25,141.50,152.25,10201.00,1
12/29/2009,153.00,130.75,121.25,128.25,4334.50,1
01/05/2010,128.75,166.75,145.00,158.38,13700.00,1
01/12/2010,159.62,165.00,150.00,158.75,7325.00,1
01/19/2010,157.50,163.75,150.25,158.25,15115.00,1
01/26/2010,158.25,163.75,149.50,157.88,5305.00,1
02/02/2010,157.88,164.25,152.50,159.00,10625.00,1
02/09/2010,159.00,165.00,151.25,159.38,13725.00,1
02/16/2010,160.62,166.25,151.75,160.62,2091.50,1
02/23/2010,161.88,170.75,152.50,163.50,14877.00,1
03/02/2010,161.00,165.50,152.50,159.62,7875.00,1
03/09/2010,160.88,165.75,149.50,160.12,7575.00,1
03/16/2010,160.12,166.75,148.25,159.62,13285.00,1
03/23/2010,158.88,170.50,155.00,164.25,4625.00,1
03/30/2010,162.50,159.25,152.50,157.12,4329.00,1
04/06/2010,158.38,160.00,148.75,157.50,9780.00,1
04/13/2010,157.50,165.50,149.25,160.50,7825.00,1
04/20/2010,160.50,165.00,146.25,157.75,9750.00,1
04/27/2010,157.75,164.75,148.50,158.50,8670.00,1
05/04/2010,157.25,163.75,149.25,157.50,7985.00,1
05/11/2010,158.75,166.25,148.00,158.75,11495.00,1
05/18/2010,158.75,165.75,149.25,159.38,16180.00,1
05/25/2010,159.38,164.50,147.50,157.88,15835.00,1
06/01/2010,159.12,165.75,150.00,160.38,21770.00,1
06/08/2010,159.12,165.00,146.25,156.88,16762.00,1
06/15/2010,158.12,167.50,149.50,160.38,19205.00,1
06/22/2010,160.38,165.25,148.25,158.62,26520.00,1
06/29/2010,158.62,168.00,149.75,160.75,19820.00,1
07/06/2010,157.50,168.25,150.25,161.00,4680.50,1
07/13/2010,161.25,166.75,151.25,160.50,17710.00,1
07/20/2010,161.25,164.50,151.25,160.12,25130.00,1
07/27/2010,161.38,170.25,150.50,163.25,18660.00,1
08/03/2010,163.25,170.25,152.50,163.25,37480.00,1
08/10/2010,162.00,171.25,156.75,164.62,12782.00,1
08/17/2010,165.88,174.25,155.00,167.12,17650.00,1
08/24/2010,167.12,180.00,159.50,171.62,19644.00,1
08/31/2010,170.38,177.50,162.50,171.25,16775.00,1
09/07/2010,173.75,182.00,160.00,173.50,20020.00,1
09/14/2010,172.25,176.25,163.75,171.25,12680.00,1
09/21/2010,172.50,180.75,165.00,174.75,7625.00,1
09/28/2010,176.00,180.50,162.50,174.62,15275.00,1
10/05/2010,174.62,180.75,164.50,175.12,10485.00,1
10/12/2010,178.88,196.25,170.50,187.75,14875.00,1
10/19/2010,187.75,189.50,173.75,184.75,14930.00,1
10/26/2010,185.50,194.50,176.75,188.75,10090.00,1
11/02/2010,186.75,193.75,178.75,188.12,8900.00,1
11/09/2010,190.62,197.00,181.00,191.50,7865.00,1
11/16/2010,190.25,194.50,178.75,188.50,4420.00,1
11/23/2010,188.50,192.50,180.00,188.12,5400.00,1
11/30/2010,188.12,191.25,183.75,190.00,1575.00,1
12/07/2010,188.75,200.00,186.25,195.00,7647.00,1
12/14/2010,198.75,206.75,192.50,202.12,3975.00,1
12/21/2010,199.62,202.50,194.00,200.12,4330.00,1
12/28/2010,200.12,202.50,195.25,200.12,85.50,1
01/04/2011,200.12,208.75,200.00,205.00,2785.00,1
01/11/2011,208.00,211.75,198.75,207.38,8835.00,1
01/18/2011,206.38,213.25,203.25,209.25,5675.00,1
01/25/2011,209.75,218.75,205.50,212.50,4900.00,1
02/01/2011,215.00,225.00,213.75,220.62,5775.00,1
02/08/2011,223.38,234.00,215.25,226.62,5626.00,1
02/15/2011,231.38,245.25,229.25,240.38,5000.00,1
02/22/2011,241.62,235.50,227.50,234.00,3300.00,1
03/01/2011,239.75,262.00,243.75,255.75,3825.00,1
03/08/2011,260.00,267.50,245.00,258.75,3751.00,1
03/15/2011,263.00,283.00,258.75,274.88,3406.00,1
03/22/2011,276.88,286.25,265.00,278.75,8431.00,1
03/29/2011,279.50,295.75,273.75,287.00,6226.00,1
04/05/2011,285.50,294.25,271.25,285.50,3178.00,1
04/12/2011,283.75,292.50,268.75,283.75,3178.00,1
04/19/2011,282.50,292.00,271.75,285.62,9100.00,1
04/26/2011,284.38,288.75,265.00,280.62,13050.00,1
05/03/2011,279.38,282.50,259.25,275.00,13065.00,1
05/10/2011,271.25,281.25,261.25,273.75,12575.00,1
05/17/2011,273.75,282.50,261.25,274.38,11051.00,1
05/24/2011,274.38,282.50,261.25,274.38,3278.00,1
05/31/2011,273.12,278.75,262.50,272.50,13765.00,1
