DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
04/08/2008,280.0,280.0,255.0,280.0,11000.0,1
04/15/2008,278.0,278.0,255.0,278.0,11000.0,1
04/22/2008,278.0,278.0,255.0,278.0,11000.0,1
04/29/2008,280.0,280.0,255.0,280.0,9575.0,1
05/06/2008,275.0,275.0,258.0,275.0,10600.0,1
05/13/2008,276.0,276.0,255.0,276.0,12350.0,1
05/20/2008,276.0,276.0,255.0,276.0,9500.0,1
05/27/2008,280.0,280.0,255.0,280.0,9415.0,1
06/03/2008,276.0,276.0,255.0,276.0,4000.0,1
06/10/2008,270.0,270.0,260.0,270.0,1900.0,1
06/17/2008,278.0,278.0,260.0,278.0,4860.0,1
06/24/2008,280.0,280.0,260.0,280.0,5340.0,1
07/01/2008,285.0,285.0,265.0,285.0,5840.0,1
07/08/2008,285.0,285.0,260.0,285.0,4030.0,1
07/15/2008,285.0,285.0,265.0,285.0,5680.0,1
07/22/2008,285.0,285.0,265.0,285.0,3690.0,1
07/29/2008,285.0,285.0,265.0,285.0,3690.0,1
08/05/2008,284.0,284.0,265.0,284.0,1700.0,1
08/12/2008,275.0,275.0,265.0,275.0,500.0,1
08/19/2008,290.0,290.0,270.0,290.0,1565.0,1
08/26/2008,275.0,275.0,270.0,275.0,1125.0,1
09/02/2008,280.0,280.0,280.0,280.0,662.5,1
09/09/2008,285.0,285.0,285.0,285.0,200.0,1
09/16/2008,265.0,265.0,265.0,265.0,600.0,1
09/23/2008,270.0,270.0,270.0,270.0,400.0,1
09/30/2008,273.0,273.0,260.0,273.0,400.0,1
10/07/2008,270.0,270.0,260.0,270.0,1400.0,1
10/14/2008,270.0,270.0,255.0,270.0,400.0,1
10/21/2008,272.0,272.0,246.0,272.0,7025.0,1
10/28/2008,275.0,275.0,245.0,275.0,930.0,1
11/04/2008,265.0,265.0,245.0,265.0,1250.0,1
11/11/2008,270.0,270.0,235.0,270.0,1350.0,1
11/18/2008,250.0,250.0,233.0,250.0,1175.0,1
11/25/2008,250.0,250.0,220.0,250.0,1630.0,1
12/02/2008,235.0,235.0,210.0,235.0,350.0,1
12/09/2008,235.0,235.0,210.0,235.0,350.0,1
12/16/2008,240.0,240.0,200.0,240.0,917.0,1
12/22/2008,240.0,240.0,210.0,240.0,450.0,1
01/06/2009,230.0,230.0,200.0,230.0,775.0,1
01/13/2009,215.0,215.0,185.0,215.0,2250.0,1
01/20/2009,245.0,245.0,225.0,245.0,928.0,1
01/27/2009,195.0,195.0,195.0,195.0,50.0,1
02/03/2009,200.0,200.0,185.0,200.0,875.0,1
02/10/2009,200.0,200.0,190.0,200.0,650.0,1
02/17/2009,198.0,198.0,185.0,198.0,250.0,1
02/24/2009,190.0,190.0,170.0,190.0,1125.0,1
03/03/2009,200.0,200.0,170.0,200.0,1055.0,1
03/10/2009,190.0,190.0,170.0,190.0,1070.0,1
03/17/2009,195.0,195.0,170.0,195.0,650.0,1
03/24/2009,178.0,178.0,150.0,178.0,1950.0,1
03/31/2009,175.0,175.0,150.0,175.0,2645.0,1
04/07/2009,170.0,170.0,150.0,170.0,4635.0,1
04/14/2009,165.0,165.0,150.0,165.0,17250.0,1
04/21/2009,170.0,170.0,150.0,170.0,11215.0,1
04/28/2009,168.0,168.0,153.0,168.0,7730.0,1
05/05/2009,168.0,168.0,152.0,168.0,9750.0,1
05/12/2009,165.0,165.0,155.0,165.0,9600.0,1
05/19/2009,165.0,165.0,155.0,165.0,5900.0,1
05/26/2009,165.0,165.0,157.0,165.0,3525.0,1
06/02/2009,168.0,168.0,157.0,168.0,2300.0,1
06/09/2009,162.0,162.0,157.0,162.0,850.0,1
06/16/2009,160.0,160.0,160.0,160.0,700.0,1
06/23/2009,165.0,165.0,160.0,165.0,350.0,1
06/30/2009,160.0,160.0,155.0,160.0,700.0,1
07/07/2009,160.0,160.0,155.0,160.0,700.0,1
07/14/2009,165.0,165.0,155.0,165.0,1450.0,1
07/21/2009,165.0,165.0,155.0,165.0,1170.0,1
07/28/2009,165.0,165.0,157.0,165.0,1540.0,1
08/04/2009,165.0,165.0,155.0,165.0,930.0,1
08/11/2009,175.0,175.0,155.0,175.0,1950.0,1
08/18/2009,165.0,165.0,155.0,165.0,800.0,1
08/25/2009,165.0,165.0,160.0,165.0,3500.0,1
09/01/2009,165.0,165.0,155.0,165.0,4215.0,1
09/08/2009,165.0,165.0,155.0,165.0,1860.0,1
09/15/2009,165.0,165.0,160.0,165.0,2730.0,1
09/22/2009,165.0,165.0,155.0,165.0,1555.0,1
09/29/2009,165.0,165.0,160.0,165.0,930.0,1
10/06/2009,165.0,165.0,157.0,165.0,1750.0,1
10/13/2009,170.0,170.0,155.0,170.0,9325.0,1
10/20/2009,170.0,170.0,155.0,170.0,2325.0,1
10/27/2009,175.0,175.0,155.0,175.0,6436.0,1
11/03/2009,185.0,185.0,160.0,185.0,3135.0,1
11/10/2009,180.0,180.0,160.0,180.0,2550.0,1
11/17/2009,185.0,185.0,155.0,185.0,5565.0,1
11/24/2009,175.0,175.0,157.0,175.0,1550.0,1
12/01/2009,180.0,180.0,166.0,180.0,2700.0,1
12/08/2009,180.0,180.0,165.0,180.0,2708.5,1
12/18/2009,180.0,180.0,165.0,180.0,2708.5,1
12/22/2009,180.0,180.0,165.0,180.0,2717.0,1
12/29/2009,183.0,183.0,165.0,183.0,2133.5,1
01/05/2010,185.0,185.0,165.0,185.0,1550.0,1
01/12/2010,190.0,190.0,180.0,190.0,1300.0,1
01/19/2010,185.0,185.0,175.0,185.0,5100.0,1
01/26/2010,185.0,185.0,175.0,185.0,1600.0,1
02/02/2010,185.0,185.0,180.0,185.0,900.0,1
02/09/2010,185.0,185.0,175.0,185.0,1650.0,1
02/16/2010,190.0,190.0,177.0,190.0,2088.5,1
02/23/2010,195.0,195.0,180.0,195.0,2527.0,1
03/02/2010,185.0,185.0,180.0,185.0,600.0,1
03/09/2010,190.0,190.0,170.0,190.0,2150.0,1
03/16/2010,190.0,190.0,173.0,190.0,2510.0,1
03/23/2010,187.0,187.0,175.0,187.0,1650.0,1
03/30/2010,180.0,180.0,170.0,180.0,2254.0,1
04/06/2010,185.0,185.0,160.0,185.0,4945.0,1
04/13/2010,185.0,185.0,160.0,185.0,1525.0,1
04/20/2010,185.0,185.0,168.0,185.0,3975.0,1
04/27/2010,185.0,185.0,170.0,185.0,3300.0,1
05/04/2010,180.0,180.0,172.0,180.0,3075.0,1
05/11/2010,185.0,185.0,172.0,185.0,2345.0,1
05/18/2010,185.0,185.0,170.0,185.0,2550.0,1
05/25/2010,185.0,185.0,170.0,185.0,2200.0,1
06/01/2010,190.0,190.0,170.0,190.0,4430.0,1
06/08/2010,185.0,185.0,175.0,185.0,2175.0,1
06/15/2010,190.0,190.0,175.0,190.0,4130.0,1
06/22/2010,190.0,190.0,175.0,190.0,5025.0,1
06/29/2010,190.0,190.0,175.0,190.0,4225.0,1
07/06/2010,191.0,191.0,177.0,191.0,4677.5,1
07/13/2010,192.0,192.0,180.0,192.0,5130.0,1
07/20/2010,195.0,195.0,177.0,195.0,8755.0,1
07/27/2010,200.0,200.0,177.0,200.0,2485.0,1
08/03/2010,200.0,200.0,185.0,200.0,1900.0,1
08/10/2010,195.0,195.0,190.0,195.0,500.0,1
08/17/2010,200.0,200.0,180.0,200.0,850.0,1
08/24/2010,200.0,200.0,185.0,200.0,2519.0,1
08/31/2010,195.0,195.0,185.0,195.0,1600.0,1
09/07/2010,205.0,205.0,185.0,205.0,1625.0,1
09/14/2010,200.0,200.0,190.0,200.0,800.0,1
09/21/2010,205.0,205.0,190.0,205.0,1100.0,1
09/28/2010,210.0,210.0,185.0,210.0,7650.0,1
10/05/2010,210.0,210.0,190.0,210.0,4425.0,1
10/12/2010,225.0,225.0,190.0,225.0,7050.0,1
10/19/2010,225.0,225.0,200.0,225.0,5540.0,1
10/26/2010,228.0,228.0,203.0,228.0,3700.0,1
11/02/2010,220.0,220.0,205.0,220.0,2550.0,1
11/09/2010,230.0,230.0,210.0,230.0,3215.0,1
11/16/2010,225.0,225.0,210.0,225.0,1645.0,1
11/23/2010,225.0,225.0,210.0,225.0,2075.0,1
11/30/2010,225.0,225.0,205.0,225.0,250.0,1
12/07/2010,220.0,220.0,205.0,220.0,2070.0,1
12/14/2010,235.0,235.0,215.0,235.0,725.0,1
12/21/2010,225.0,225.0,210.0,225.0,880.0,1
12/28/2010,225.0,225.0,215.0,225.0,82.5,1
01/04/2011,225.0,225.0,220.0,225.0,285.0,1
01/11/2011,237.0,237.0,220.0,237.0,300.0,1
01/18/2011,233.0,233.0,225.0,233.0,215.0,1
01/25/2011,235.0,235.0,232.0,235.0,550.0,1
02/01/2011,245.0,245.0,235.0,245.0,1775.0,1
02/08/2011,256.0,256.0,240.0,256.0,1725.0,1
02/15/2011,275.0,275.0,250.0,275.0,1775.0,1
02/22/2011,280.0,280.0,260.0,280.0,2725.0,1
03/01/2011,303.0,303.0,280.0,303.0,850.0,1
03/08/2011,320.0,320.0,300.0,320.0,900.0,1
03/15/2011,337.0,337.0,305.0,337.0,2230.0,1
03/22/2011,345.0,345.0,320.0,345.0,6880.0,1
03/29/2011,348.0,348.0,330.0,348.0,3325.0,1
04/05/2011,342.0,342.0,320.0,342.0,3175.0,1
04/12/2011,335.0,335.0,310.0,335.0,3175.0,1
04/19/2011,330.0,330.0,300.0,330.0,3025.0,1
04/26/2011,325.0,325.0,295.0,325.0,4380.0,1
05/03/2011,320.0,320.0,287.0,320.0,6890.0,1
05/10/2011,305.0,305.0,285.0,305.0,4025.0,1
05/17/2011,305.0,305.0,285.0,305.0,3275.0,1
05/24/2011,305.0,305.0,285.0,305.0,3275.0,1
05/31/2011,300.0,300.0,285.0,300.0,4160.0,1
06/07/2011,305.0,305.0,290.0,305.0,1870.0,1
06/14/2011,305.0,305.0,285.0,305.0,1810.0,1
06/21/2011,307.0,307.0,287.0,307.0,4030.0,1
06/28/2011,310.0,310.0,288.0,310.0,6250.0,1
07/05/2011,312.0,312.0,293.0,312.0,4450.0,1
07/12/2011,310.0,310.0,295.0,310.0,4068.0,1
07/19/2011,320.0,320.0,300.0,320.0,6431.0,1
07/26/2011,320.0,320.0,300.0,320.0,1000.0,1
08/02/2011,323.0,323.0,303.0,323.0,800.0,1
08/09/2011,310.0,310.0,305.0,310.0,850.0,1
08/16/2011,325.0,325.0,305.0,325.0,5830.0,1
08/23/2011,325.0,325.0,300.0,325.0,1550.0,1
08/30/2011,320.0,320.0,309.0,320.0,830.0,1
09/06/2011,325.0,325.0,310.0,325.0,1375.0,1
09/13/2011,325.0,325.0,300.0,325.0,1942.0,1
09/20/2011,325.0,325.0,315.0,325.0,1768.0,1
09/27/2011,325.0,325.0,315.0,325.0,610.0,1
10/04/2011,325.0,325.0,310.0,325.0,1183.0,1
10/11/2011,325.0,325.0,210.0,325.0,1230.0,1
10/18/2011,330.0,330.0,310.0,330.0,1700.0,1
10/25/2011,330.0,330.0,310.0,330.0,1000.0,1
11/01/2011,330.0,330.0,310.0,330.0,2300.0,1
11/08/2011,325.0,325.0,300.0,325.0,2480.0,1
11/15/2011,330.0,330.0,305.0,330.0,1345.0,1
11/22/2011,330.0,330.0,310.0,330.0,2100.0,1
11/29/2011,330.0,330.0,300.0,330.0,406.0,1
12/06/2011,330.0,330.0,320.0,330.0,250.0,1
12/13/2011,330.0,330.0,320.0,330.0,875.0,1
12/20/2011,342.0,342.0,325.0,342.0,600.0,1
12/27/2011,330.0,330.0,320.0,330.0,400.0,1
01/03/2012,330.0,330.0,322.0,330.0,750.0,1
01/10/2012,330.0,330.0,325.0,330.0,1100.0,1
01/17/2012,330.0,330.0,320.0,330.0,150.0,1
01/24/2012,330.0,330.0,320.0,330.0,300.0,1
01/31/2012,330.0,330.0,320.0,330.0,600.0,1
02/07/2012,327.0,327.0,315.0,327.0,625.0,1
02/14/2012,327.0,327.0,320.0,327.0,1175.0,1
02/21/2012,325.0,325.0,315.0,325.0,300.0,1
02/28/2012,325.0,325.0,315.0,325.0,600.0,1
03/06/2012,322.0,322.0,310.0,322.0,1137.5,1
03/13/2012,320.0,320.0,305.0,320.0,1675.0,1
03/20/2012,312.0,312.0,300.0,312.0,2650.0,1
03/27/2012,312.0,312.0,295.0,312.0,7175.0,1
04/03/2012,310.0,310.0,295.0,310.0,2175.0,1
04/10/2012,305.0,305.0,290.0,305.0,4225.0,1
04/17/2012,305.0,305.0,290.0,305.0,6480.0,1
04/24/2012,305.0,305.0,285.0,305.0,3495.0,1
05/01/2012,295.0,295.0,280.0,295.0,1525.0,1
05/08/2012,290.0,290.0,275.0,290.0,3065.0,1
05/15/2012,290.0,290.0,270.0,290.0,2148.0,1
05/22/2012,285.0,285.0,275.0,285.0,3750.0,1
05/29/2012,280.0,280.0,275.0,280.0,7025.0,1
06/05/2012,275.0,275.0,275.0,275.0,410.0,1
06/12/2012,275.0,275.0,265.0,275.0,1831.0,1
06/19/2012,277.0,277.0,265.0,277.0,3178.0,1
06/26/2012,275.0,275.0,265.0,275.0,4150.0,1
07/03/2012,275.0,275.0,265.0,275.0,2625.0,1
07/10/2012,275.0,275.0,262.0,275.0,1150.0,1
07/17/2012,280.0,280.0,261.0,280.0,5425.0,1
07/24/2012,285.0,285.0,268.0,285.0,2850.0,1
07/31/2012,290.0,290.0,275.0,290.0,2450.0,1
08/07/2012,290.0,290.0,275.0,290.0,1250.0,1
08/14/2012,300.0,300.0,280.0,300.0,2950.0,1
08/21/2012,290.0,290.0,275.0,290.0,1125.0,1
08/28/2012,290.0,290.0,275.0,290.0,3730.0,1
09/04/2012,285.0,285.0,270.0,285.0,2130.0,1
09/11/2012,285.0,285.0,270.0,285.0,725.0,1
09/18/2012,280.0,280.0,275.0,280.0,350.0,1
09/25/2012,287.0,287.0,275.0,287.0,800.0,1
10/02/2012,290.0,290.0,275.0,290.0,2011.0,1
10/09/2012,295.0,295.0,275.0,295.0,3222.0,1
10/16/2012,295.0,295.0,275.0,295.0,1875.0,1
10/23/2012,305.0,305.0,280.0,305.0,1925.0,1
10/30/2012,310.0,310.0,285.0,310.0,2630.0,1
11/06/2012,305.0,305.0,280.0,305.0,1650.0,1
11/13/2012,300.0,300.0,280.0,300.0,450.0,1
11/20/2012,300.0,300.0,275.0,300.0,325.0,1
11/27/2012,300.0,300.0,280.0,300.0,350.0,1
12/04/2012,310.0,310.0,285.0,310.0,2270.0,1
12/11/2012,310.0,310.0,290.0,310.0,925.0,1
12/18/2012,300.0,300.0,290.0,300.0,300.0,1
12/24/2012,310.0,310.0,285.0,310.0,1050.0,1
12/31/2012,307.0,307.0,287.0,307.0,650.0,1
01/08/2013,305.0,305.0,290.0,305.0,250.0,1
01/15/2013,305.0,305.0,285.0,305.0,1300.0,1
01/22/2013,295.0,295.0,290.0,295.0,300.0,1
01/29/2013,295.0,295.0,280.0,295.0,430.0,1
02/05/2013,290.0,290.0,275.0,290.0,1045.0,1
02/12/2013,295.0,295.0,275.0,295.0,720.0,1
02/19/2013,290.0,290.0,280.0,290.0,500.0,1
02/26/2013,290.0,290.0,275.0,290.0,1300.0,1
03/05/2013,285.0,285.0,275.0,285.0,200.0,1
03/12/2013,287.0,287.0,275.0,287.0,7030.0,1
03/19/2013,285.0,285.0,270.0,285.0,5250.0,1
03/26/2013,285.0,285.0,265.0,285.0,5850.0,1
04/02/2013,280.0,280.0,265.0,280.0,9175.0,1
04/09/2013,275.0,275.0,262.0,275.0,2785.0,1
04/16/2013,275.0,275.0,265.0,275.0,3995.0,1
04/23/2013,280.0,280.0,265.0,280.0,5025.0,1
04/30/2013,280.0,280.0,265.0,280.0,2807.0,1
05/07/2013,285.0,285.0,265.0,285.0,5600.0,1
05/14/2013,285.0,285.0,270.0,285.0,2280.0,1
05/21/2013,285.0,285.0,265.0,285.0,3245.0,1
05/28/2013,290.0,290.0,270.0,290.0,2150.0,1
06/04/2013,290.0,290.0,270.0,290.0,2520.0,1
06/11/2013,292.0,292.0,275.0,292.0,925.0,1
06/18/2013,290.0,290.0,278.0,290.0,2200.0,1
06/25/2013,290.0,290.0,275.0,290.0,5600.0,1
07/02/2013,290.0,290.0,280.0,290.0,5500.0,1
07/09/2013,292.0,292.0,275.0,292.0,3500.0,1
07/16/2013,305.0,305.0,280.0,305.0,5200.0,1
07/23/2013,302.0,302.0,280.0,302.0,3417.0,1
07/30/2013,300.0,300.0,285.0,300.0,2100.0,1
08/06/2013,310.0,310.0,290.0,310.0,2850.0,1
08/13/2013,305.0,305.0,285.0,305.0,1700.0,1
08/20/2013,305.0,305.0,290.0,305.0,1100.0,1
08/27/2013,300.0,300.0,290.0,300.0,800.0,1
09/03/2013,295.0,295.0,285.0,295.0,300.0,1
09/10/2013,305.0,305.0,285.0,305.0,825.0,1
09/17/2013,295.0,295.0,290.0,295.0,200.0,1
09/24/2013,300.0,300.0,285.0,300.0,800.0,1
10/01/2013,305.0,305.0,285.0,305.0,950.0,1
10/08/2013,295.0,295.0,285.0,295.0,700.0,1
10/15/2013,302.0,302.0,285.0,302.0,2650.0,1
10/22/2013,300.0,300.0,285.0,300.0,925.0,1
10/29/2013,310.0,310.0,280.0,310.0,3100.0,1
11/05/2013,308.0,308.0,280.0,308.0,1805.0,1
11/12/2013,309.0,309.0,280.0,309.0,2942.5,1
11/19/2013,310.0,310.0,280.0,310.0,4080.0,1
11/26/2013,315.0,315.0,285.0,315.0,1050.0,1
12/03/2013,300.0,300.0,283.0,300.0,225.0,1
12/10/2013,315.0,315.0,285.0,315.0,1250.0,1
12/17/2013,315.0,315.0,285.0,315.0,2075.0,1
12/24/2013,315.0,315.0,285.0,315.0,2900.0,1
12/31/2013,310.0,310.0,295.0,310.0,1525.0,1
01/07/2014,305.0,305.0,305.0,305.0,150.0,1
01/14/2014,305.0,305.0,295.0,305.0,400.0,1
01/21/2014,306.0,306.0,290.0,306.0,700.0,1
01/28/2014,310.0,310.0,295.0,310.0,650.0,1
02/04/2014,335.0,335.0,290.0,335.0,1600.0,1
02/11/2014,315.0,315.0,297.0,315.0,1025.0,1
02/18/2014,325.0,325.0,305.0,325.0,2465.0,1
02/25/2014,330.0,330.0,310.0,330.0,2350.0,1
03/04/2014,335.0,335.0,310.0,335.0,2100.0,1
03/11/2014,335.0,335.0,315.0,335.0,4600.0,1
03/18/2014,335.0,335.0,320.0,335.0,5375.0,1
03/25/2014,341.0,341.0,320.0,341.0,4250.0,1
04/01/2014,340.0,340.0,325.0,340.0,4725.0,1
04/08/2014,350.0,350.0,330.0,350.0,5454.0,1
04/15/2014,358.0,358.0,330.0,358.0,4690.0,1
04/22/2014,358.0,358.0,333.0,358.0,6450.0,1
04/29/2014,360.0,360.0,335.0,360.0,7130.0,1
05/06/2014,360.0,360.0,340.0,360.0,2925.0,1
05/13/2014,355.0,355.0,340.0,355.0,2050.0,1
05/20/2014,355.0,355.0,345.0,355.0,325.0,1
05/27/2014,373.0,373.0,348.0,373.0,2970.0,1
06/03/2014,361.0,361.0,345.0,361.0,1000.0,1
06/10/2014,360.0,360.0,345.0,360.0,1350.0,1
06/17/2014,365.0,365.0,353.0,365.0,1800.0,1
06/24/2014,360.0,360.0,355.0,360.0,800.0,1
07/01/2014,365.0,365.0,345.0,365.0,1735.0,1
07/08/2014,355.0,355.0,350.0,355.0,625.0,1
07/15/2014,370.0,370.0,350.0,370.0,2750.0,1
07/22/2014,365.0,365.0,350.0,365.0,2650.0,1
07/29/2014,370.0,370.0,360.0,370.0,1150.0,1
08/05/2014,365.0,365.0,350.0,365.0,2575.0,1
08/12/2014,355.0,355.0,350.0,355.0,350.0,1
08/19/2014,360.0,360.0,350.0,360.0,600.0,1
08/26/2014,350.0,350.0,350.0,350.0,200.0,1
09/02/2014,350.0,350.0,350.0,350.0,250.0,1
09/09/2014,355.0,355.0,350.0,355.0,200.0,1
09/16/2014,350.0,350.0,345.0,350.0,1700.0,1
09/23/2014,350.0,350.0,345.0,350.0,1000.0,1
09/30/2014,350.0,350.0,330.0,350.0,1010.0,1
10/07/2014,340.0,340.0,330.0,340.0,650.0,1
10/14/2014,350.0,350.0,335.0,350.0,1500.0,1
10/21/2014,345.0,345.0,325.0,345.0,3800.0,1
10/28/2014,350.0,350.0,320.0,350.0,3825.0,1
11/04/2014,345.0,345.0,325.0,345.0,2550.0,1
11/11/2014,355.0,355.0,325.0,355.0,3125.0,1
11/18/2014,345.0,345.0,330.0,345.0,1510.0,1
11/25/2014,350.0,350.0,330.0,350.0,2600.0,1
12/02/2014,345.0,345.0,333.0,345.0,400.0,1
12/09/2014,335.0,335.0,335.0,335.0,200.0,1
12/16/2014,337.0,337.0,330.0,337.0,570.0,1
12/23/2014,340.0,340.0,320.0,340.0,940.0,1
12/30/2014,340.0,340.0,320.0,340.0,507.5,1
01/06/2015,340.0,340.0,320.0,340.0,75.0,1
01/13/2015,330.0,330.0,310.0,330.0,875.0,1
01/20/2015,330.0,330.0,310.0,330.0,550.0,1
01/27/2015,325.0,325.0,305.0,325.0,900.0,1
02/03/2015,320.0,320.0,300.0,320.0,1250.0,1
02/10/2015,320.0,320.0,305.0,320.0,875.0,1
02/17/2015,310.0,310.0,300.0,310.0,210.0,1
02/24/2015,307.0,307.0,295.0,307.0,80.0,1
03/03/2015,303.0,303.0,290.0,303.0,480.0,1
03/10/2015,300.0,300.0,285.0,300.0,750.0,1
03/17/2015,300.0,300.0,285.0,300.0,450.0,1
03/24/2015,300.0,300.0,280.0,300.0,500.0,1
03/31/2015,290.0,290.0,285.0,290.0,200.0,1
04/07/2015,295.0,295.0,273.0,295.0,2625.0,1
04/14/2015,295.0,295.0,270.0,295.0,1240.0,1
04/21/2015,290.0,290.0,275.0,290.0,1010.0,1
04/28/2015,300.0,300.0,275.0,300.0,5975.0,1
05/05/2015,295.0,295.0,275.0,295.0,1135.0,1
05/12/2015,295.0,295.0,280.0,295.0,1150.0,1
05/19/2015,295.0,295.0,285.0,295.0,600.0,1
05/26/2015,300.0,300.0,280.0,300.0,5575.0,1
06/02/2015,305.0,305.0,285.0,305.0,750.0,1
06/09/2015,295.0,295.0,280.0,295.0,2235.0,1
06/16/2015,303.0,303.0,285.0,303.0,1215.0,1
06/23/2015,295.0,295.0,285.0,295.0,650.0,1
06/30/2015,297.0,297.0,287.0,297.0,522.5,1
07/07/2015,300.0,300.0,290.0,300.0,395.0,1
07/14/2015,300.0,300.0,280.0,300.0,1175.0,1
07/21/2015,295.0,295.0,280.0,295.0,950.0,1
07/28/2015,295.0,295.0,280.0,295.0,950.0,1
08/04/2015,290.0,290.0,280.0,290.0,300.0,1
08/11/2015,287.0,287.0,280.0,287.0,400.0,1
08/18/2015,282.0,282.0,262.0,282.0,675.0,1
08/25/2015,283.0,283.0,268.0,283.0,687.5,1
09/01/2015,285.0,285.0,275.0,285.0,700.0,1
09/08/2015,295.0,295.0,280.0,295.0,470.0,1
09/15/2015,290.0,290.0,277.0,290.0,725.0,1
09/22/2015,290.0,290.0,260.0,290.0,350.0,1
09/29/2015,285.0,285.0,260.0,285.0,2230.0,1
10/06/2015,290.0,290.0,260.0,290.0,2595.0,1
10/13/2015,285.0,285.0,265.0,285.0,1245.0,1
10/20/2015,287.0,287.0,260.0,287.0,3300.0,1
10/27/2015,285.0,285.0,260.0,285.0,1850.0,1
11/03/2015,280.0,280.0,240.0,280.0,3750.0,1
11/10/2015,275.0,275.0,255.0,275.0,1320.0,1
11/17/2015,285.0,285.0,260.0,285.0,1630.0,1
11/24/2015,285.0,285.0,265.0,285.0,500.0,1
12/01/2015,285.0,285.0,265.0,285.0,500.0,1
12/08/2015,275.0,275.0,260.0,275.0,400.0,1
12/15/2015,275.0,275.0,255.0,275.0,1275.0,1
12/22/2015,275.0,275.0,250.0,275.0,1225.0,1
12/29/2015,262.0,262.0,244.0,262.0,87.5,1
01/05/2016,248.0,248.0,238.0,248.0,887.5,1
01/12/2016,235.0,235.0,235.0,235.0,550.0,1
01/19/2016,277.0,277.0,250.0,277.0,850.0,1
01/26/2016,275.0,275.0,260.0,275.0,700.0,1
02/02/2016,270.0,270.0,240.0,270.0,800.0,1
02/09/2016,260.0,260.0,240.0,260.0,3695.0,1
02/16/2016,262.0,262.0,240.0,262.0,1250.0,1
