DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,,,,
1/29/2010,"2,930,916","2,930,916","2,930,916","2,930,916",1,1,,,,
2/26/2010,"2,770,961","2,770,961","2,770,961","2,770,961",1,1,,,,
3/31/2010,"2,604,141","2,604,141","2,604,141","2,604,141",1,1,,,,
4/30/2010,"2,407,901","2,407,901","2,407,901","2,407,901",1,1,,,,
5/28/2010,"2,328,697","2,328,697","2,328,697","2,328,697",1,1,,,,
6/30/2010,"2,213,386","2,213,386","2,213,386","2,213,386",1,1,,,,
7/12/2010,"2,167,368","2,167,368","2,167,368","2,167,368",1,1,,,,
7/26/2010,"2,130,903","2,130,903","2,130,903","2,130,903",1,1,,,,
7/27/2010,"2,127,432","2,127,432","2,127,432","2,127,432",1,1,,,,
7/28/2010,"2,120,920","2,120,920","2,120,920","2,120,920",1,1,,,,
7/29/2010,"2,115,280","2,115,280","2,115,280","2,115,280",1,1,,,,
7/30/2010,"2,107,063","2,107,063","2,107,063","2,107,063",1,1,,,,
8/2/2010,"2,100,637","2,100,637","2,100,637","2,100,637",1,1,,,,
8/3/2010,"2,080,075","2,080,075","2,080,075","2,080,075",1,1,,,,
8/4/2010,"2,079,046","2,079,046","2,079,046","2,079,046",1,1,,,,
8/5/2010,"2,076,321","2,076,321","2,076,321","2,076,321",1,1,,,,
8/6/2010,"2,075,370","2,075,370","2,075,370","2,075,370",1,1,,,,
8/9/2010,"2,073,245","2,073,245","2,073,245","2,073,245",1,1,,,,
8/10/2010,"2,074,377","2,074,377","2,074,377","2,074,377",1,1,,,,
8/11/2010,"2,070,425","2,070,425","2,070,425","2,070,425",1,1,,,,
8/12/2010,"2,069,675","2,069,675","2,069,675","2,069,675",1,1,,,,
8/13/2010,"2,055,482","2,055,482","2,055,482","2,055,482",1,1,,,,
8/16/2010,"2,047,758","2,047,758","2,047,758","2,047,758",1,1,,,,
8/17/2010,"2,045,236","2,045,236","2,045,236","2,045,236",1,1,,,,
8/18/2010,"2,043,636","2,043,636","2,043,636","2,043,636",1,1,,,,
8/19/2010,"2,047,549","2,047,549","2,047,549","2,047,549",1,1,,,,
8/20/2010,"2,045,446","2,045,446","2,045,446","2,045,446",1,1,,,,
8/23/2010,"2,025,223","2,025,223","2,025,223","2,025,223",1,1,,,,
8/24/2010,"2,025,223","2,025,223","2,025,223","2,025,223",1,1,,,,
8/25/2010,"2,028,136","2,028,136","2,028,136","2,028,136",1,1,,,,
8/26/2010,"2,019,843","2,019,843","2,019,843","2,019,843",1,1,,,,
8/27/2010,"2,016,620","2,016,620","2,016,620","2,016,620",1,1,,,,
8/30/2010,"2,016,016","2,016,016","2,016,016","2,016,016",1,1,,,,
8/31/2010,"2,012,916","2,012,916","2,012,916","2,012,916",1,1,,,,
9/1/2010,"2,013,600","2,013,600","2,013,600","2,013,600",1,1,,,,
9/2/2010,"2,014,002","2,014,002","2,014,002","2,014,002",1,1,,,,
9/3/2010,"2,014,477","2,014,477","2,014,477","2,014,477",1,1,,,,
9/7/2010,"2,010,122","2,010,122","2,010,122","2,010,122",1,1,,,,
9/8/2010,"2,011,707","2,011,707","2,011,707","2,011,707",1,1,,,,
9/9/2010,"2,011,042","2,011,042","2,011,042","2,011,042",1,1,,,,
9/10/2010,"2,012,962","2,012,962","2,012,962","2,012,962",1,1,,,,
9/13/2010,"2,009,860","2,009,860","2,009,860","2,009,860",1,1,,,,
9/14/2010,"2,009,000","2,009,000","2,009,000","2,009,000",1,1,,,,
9/15/2010,"2,007,825","2,007,825","2,007,825","2,007,825",1,1,,,,
9/16/2010,"1,985,704","1,985,704","1,985,704","1,985,704",1,1,,,,
9/17/2010,"1,984,009","1,984,009","1,984,009","1,984,009",1,1,,,,
9/20/2010,"1,983,509","1,983,509","1,983,509","1,983,509",1,1,,,,
9/21/2010,"1,979,879","1,979,879","1,979,879","1,979,879",1,1,,,,
9/22/2010,"1,976,229","1,976,229","1,976,229","1,976,229",1,1,,,,
9/23/2010,"1,978,169","1,978,169","1,978,169","1,978,169",1,1,,,,
9/24/2010,"1,979,383","1,979,383","1,979,383","1,979,383",1,1,,,,
9/27/2010,"1,969,189","1,969,189","1,969,189","1,969,189",1,1,,,,
9/28/2010,"1,964,071","1,964,071","1,964,071","1,964,071",1,1,,,,
9/29/2010,"1,962,571","1,962,571","1,962,571","1,962,571",1,1,,,,
9/30/2010,"1,959,146","1,959,146","1,959,146","1,959,146",1,1,,,,
10/1/2010,"1,948,537","1,948,537","1,948,537","1,948,537",1,1,,,,
10/4/2010,"1,951,709","1,951,709","1,951,709","1,951,709",1,1,,,,
10/5/2010,"1,946,323","1,946,323","1,946,323","1,946,323",1,1,,,,
10/6/2010,"1,921,559","1,921,559","1,921,559","1,921,559",1,1,,,,
10/7/2010,"1,913,234","1,913,234","1,913,234","1,913,234",1,1,,,,
10/8/2010,"1,907,666","1,907,666","1,907,666","1,907,666",1,1,,,,
10/11/2010,"1,900,990","1,900,990","1,900,990","1,900,990",1,1,,,,
10/12/2010,"1,898,516","1,898,516","1,898,516","1,898,516",1,1,,,,
10/13/2010,"1,896,085","1,896,085","1,896,085","1,896,085",1,1,,,,
10/14/2010,"1,867,656","1,867,656","1,867,656","1,867,656",1,1,,,,
10/15/2010,"1,850,617","1,850,617","1,850,617","1,850,617",1,1,,,,
10/18/2010,"1,850,717","1,850,717","1,850,717","1,850,717",1,1,,,,
10/19/2010,"1,844,967","1,844,967","1,844,967","1,844,967",1,1,,,,
10/20/2010,"1,844,480","1,844,480","1,844,480","1,844,480",1,1,,,,
10/21/2010,"1,843,567","1,843,567","1,843,567","1,843,567",1,1,,,,
