DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
1/29/2010,2930916,2930916,2930916,2930916,1,1
2/26/2010,2770961,2770961,2770961,2770961,1,1
3/31/2010,2604141,2604141,2604141,2604141,1,1
4/30/2010,2407901,2407901,2407901,2407901,1,1
5/28/2010,2328697,2328697,2328697,2328697,1,1
6/30/2010,2213386,2213386,2213386,2213386,1,1
7/12/2010,2167368,2167368,2167368,2167368,1,1
7/26/2010,2130903,2130903,2130903,2130903,1,1
7/27/2010,2127432,2127432,2127432,2127432,1,1
7/28/2010,2120920,2120920,2120920,2120920,1,1
7/29/2010,2115280,2115280,2115280,2115280,1,1
7/30/2010,2107063,2107063,2107063,2107063,1,1
8/2/2010,2100637,2100637,2100637,2100637,1,1
8/3/2010,2080075,2080075,2080075,2080075,1,1
8/4/2010,2079046,2079046,2079046,2079046,1,1
8/5/2010,2076321,2076321,2076321,2076321,1,1
8/6/2010,2075370,2075370,2075370,2075370,1,1
8/9/2010,2073245,2073245,2073245,2073245,1,1
8/10/2010,2074377,2074377,2074377,2074377,1,1
8/11/2010,2070425,2070425,2070425,2070425,1,1
8/12/2010,2069675,2069675,2069675,2069675,1,1
8/13/2010,2055482,2055482,2055482,2055482,1,1
8/16/2010,2047758,2047758,2047758,2047758,1,1
8/17/2010,2045236,2045236,2045236,2045236,1,1
8/18/2010,2043636,2043636,2043636,2043636,1,1
8/19/2010,2047549,2047549,2047549,2047549,1,1
8/20/2010,2045446,2045446,2045446,2045446,1,1
8/23/2010,2025223,2025223,2025223,2025223,1,1
8/24/2010,2025223,2025223,2025223,2025223,1,1
8/25/2010,2028136,2028136,2028136,2028136,1,1
8/26/2010,2019843,2019843,2019843,2019843,1,1
8/27/2010,2016620,2016620,2016620,2016620,1,1
8/30/2010,2016016,2016016,2016016,2016016,1,1
8/31/2010,2012916,2012916,2012916,2012916,1,1
9/1/2010,2013600,2013600,2013600,2013600,1,1
9/2/2010,2014002,2014002,2014002,2014002,1,1
9/3/2010,2014477,2014477,2014477,2014477,1,1
9/7/2010,2010122,2010122,2010122,2010122,1,1
9/8/2010,2011707,2011707,2011707,2011707,1,1
9/9/2010,2011042,2011042,2011042,2011042,1,1
9/10/2010,2012962,2012962,2012962,2012962,1,1
9/13/2010,2009860,2009860,2009860,2009860,1,1
9/14/2010,2009000,2009000,2009000,2009000,1,1
9/15/2010,2007825,2007825,2007825,2007825,1,1
9/16/2010,1985704,1985704,1985704,1985704,1,1
9/17/2010,1984009,1984009,1984009,1984009,1,1
9/20/2010,1983509,1983509,1983509,1983509,1,1
9/21/2010,1979879,1979879,1979879,1979879,1,1
9/22/2010,1976229,1976229,1976229,1976229,1,1
9/23/2010,1978169,1978169,1978169,1978169,1,1
9/24/2010,1979383,1979383,1979383,1979383,1,1
9/27/2010,1969189,1969189,1969189,1969189,1,1
9/28/2010,1964071,1964071,1964071,1964071,1,1
9/29/2010,1962571,1962571,1962571,1962571,1,1
9/30/2010,1959146,1959146,1959146,1959146,1,1
10/1/2010,1948537,1948537,1948537,1948537,1,1
10/4/2010,1951709,1951709,1951709,1951709,1,1
10/5/2010,1946323,1946323,1946323,1946323,1,1
10/6/2010,1921559,1921559,1921559,1921559,1,1
10/7/2010,1913234,1913234,1913234,1913234,1,1
10/8/2010,1907666,1907666,1907666,1907666,1,1
10/11/2010,1900990,1900990,1900990,1900990,1,1
10/12/2010,1898516,1898516,1898516,1898516,1,1
10/13/2010,1896085,1896085,1896085,1896085,1,1
10/14/2010,1867656,1867656,1867656,1867656,1,1
10/15/2010,1850617,1850617,1850617,1850617,1,1
10/18/2010,1850717,1850717,1850717,1850717,1,1
10/19/2010,1844967,1844967,1844967,1844967,1,1
10/20/2010,1844480,1844480,1844480,1844480,1,1
10/21/2010,1843567,1843567,1843567,1843567,1,1
10/22/2010,1844815,1844815,1844815,1844815,1,1
10/25/2010,1827566,1827566,1827566,1827566,1,1
10/26/2010,1826013,1826013,1826013,1826013,1,1
10/27/2010,1822251,1822251,1822251,1822251,1,1
10/28/2010,1821846,1821846,1821846,1821846,1,1
10/29/2010,1819055,1819055,1819055,1819055,1,1
11/1/2010,1817169,1817169,1817169,1817169,1,1
11/2/2010,1817203,1817203,1817203,1817203,1,1
11/3/2010,1815971,1815971,1815971,1815971,1,1
11/4/2010,1821645,1821645,1821645,1821645,1,1
11/5/2010,1820545,1820545,1820545,1820545,1,1
11/8/2010,1792893,1792893,1792893,1792893,1,1
11/9/2010,1791414,1791414,1791414,1791414,1,1
11/10/2010,1788364,1788364,1788364,1788364,1,1
11/11/2010,1788364,1788364,1788364,1788364,1,1
11/12/2010,1786856,1786856,1786856,1786856,1,1
11/15/2010,1789782,1789782,1789782,1789782,1,1
11/16/2010,1782021,1782021,1782021,1782021,1,1
11/17/2010,1736686,1736686,1736686,1736686,1,1
11/18/2010,1733870,1733870,1733870,1733870,1,1
11/22/2010,1736260,1736260,1736260,1736260,1,1
11/23/2010,1737458,1737458,1737458,1737458,1,1
11/24/2010,1739518,1739518,1739518,1739518,1,1
11/26/2010,1739518,1739518,1739518,1739518,1,1
11/29/2010,1744948,1744948,1744948,1744948,1,1
11/30/2010,1722850,1722850,1722850,1722850,1,1
12/1/2010,1724649,1724649,1724649,1724649,1,1
12/2/2010,1724104,1724104,1724104,1724104,1,1
12/3/2010,1729174,1729174,1729174,1729174,1,1
12/6/2010,1730925,1730925,1730925,1730925,1,1
12/7/2010,1729524,1729524,1729524,1729524,1,1
12/8/2010,1730624,1730624,1730624,1730624,1,1
12/9/2010,1730099,1730099,1730099,1730099,1,1
12/10/2010,1729849,1729849,1729849,1729849,1,1
12/13/2010,1729849,1729849,1729849,1729849,1,1
