DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI
12/27/1999,44300,44300,44300,44300,1,1
12/28/1999,44300,44300,44300,44300,1,1
12/29/1999,44300,44300,44300,44300,1,1
12/30/1999,44300,44300,44300,44300,1,1
12/31/1999,44300,44300,44300,44300,44300,1
01/03/2000,57700,57700,57700,57700,1,1
01/04/2000,57700,57700,57700,57700,1,1
01/05/2000,57700,57700,57700,57700,1,1
01/06/2000,57700,57700,57700,57700,1,1
01/07/2000,57700,57700,57700,57700,57700,1
01/10/2000,56800,56800,56800,56800,1,1
01/11/2000,56800,56800,56800,56800,1,1
01/12/2000,56800,56800,56800,56800,1,1
01/13/2000,56800,56800,56800,56800,1,1
01/14/2000,56800,56800,56800,56800,114500,1
01/17/2000,52900,52900,52900,52900,1,1
01/18/2000,52900,52900,52900,52900,1,1
01/19/2000,52900,52900,52900,52900,1,1
01/20/2000,52900,52900,52900,52900,1,1
01/21/2000,52900,52900,52900,52900,167400,1
01/24/2000,51200,51200,51200,51200,1,1
01/25/2000,51200,51200,51200,51200,1,1
01/26/2000,51200,51200,51200,51200,1,1
01/27/2000,51200,51200,51200,51200,1,1
01/28/2000,51200,51200,51200,51200,218600,1
01/31/2000,51900,51900,51900,51900,1,1
02/01/2000,51900,51900,51900,51900,1,1
02/02/2000,51900,51900,51900,51900,1,1
02/03/2000,51900,51900,51900,51900,1,1
02/04/2000,51900,51900,51900,51900,270500,1
02/07/2000,54000,54000,54000,54000,1,1
02/08/2000,54000,54000,54000,54000,1,1
02/09/2000,54000,54000,54000,54000,1,1
02/10/2000,54000,54000,54000,54000,1,1
02/11/2000,54000,54000,54000,54000,324500,1
02/14/2000,51500,51500,51500,51500,1,1
02/15/2000,51500,51500,51500,51500,1,1
02/16/2000,51500,51500,51500,51500,1,1
02/17/2000,51500,51500,51500,51500,1,1
02/18/2000,51500,51500,51500,51500,376000,1
02/21/2000,53700,53700,53700,53700,1,1
02/22/2000,53700,53700,53700,53700,1,1
02/23/2000,53700,53700,53700,53700,1,1
02/24/2000,53700,53700,53700,53700,1,1
02/25/2000,53700,53700,53700,53700,429700,1
02/28/2000,55600,55600,55600,55600,1,1
02/29/2000,55600,55600,55600,55600,1,1
03/01/2000,55600,55600,55600,55600,1,1
03/02/2000,55600,55600,55600,55600,1,1
03/03/2000,55600,55600,55600,55600,485300,1
03/06/2000,55100,55100,55100,55100,1,1
03/07/2000,55100,55100,55100,55100,1,1
03/08/2000,55100,55100,55100,55100,1,1
03/09/2000,55100,55100,55100,55100,1,1
03/10/2000,55100,55100,55100,55100,540400,1
03/13/2000,53900,53900,53900,53900,1,1
03/14/2000,53900,53900,53900,53900,1,1
03/15/2000,53900,53900,53900,53900,1,1
03/16/2000,53900,53900,53900,53900,1,1
03/17/2000,53900,53900,53900,53900,594300,1
03/20/2000,54600,54600,54600,54600,1,1
03/21/2000,54600,54600,54600,54600,1,1
03/22/2000,54600,54600,54600,54600,1,1
03/23/2000,54600,54600,54600,54600,1,1
03/24/2000,54600,54600,54600,54600,648900,1
03/27/2000,52300,52300,52300,52300,1,1
03/28/2000,52300,52300,52300,52300,1,1
03/29/2000,52300,52300,52300,52300,1,1
03/30/2000,52300,52300,52300,52300,1,1
03/31/2000,52300,52300,52300,52300,701200,1
04/03/2000,48800,48800,48800,48800,1,1
04/04/2000,48800,48800,48800,48800,1,1
04/05/2000,48800,48800,48800,48800,1,1
04/06/2000,48800,48800,48800,48800,1,1
04/07/2000,48800,48800,48800,48800,750000,1
04/10/2000,48800,48800,48800,48800,1,1
04/11/2000,48800,48800,48800,48800,1,1
04/12/2000,48800,48800,48800,48800,1,1
04/13/2000,48800,48800,48800,48800,1,1
04/14/2000,48800,48800,48800,48800,798800,1
04/17/2000,47800,47800,47800,47800,1,1
04/18/2000,47800,47800,47800,47800,1,1
04/19/2000,47800,47800,47800,47800,1,1
04/20/2000,47800,47800,47800,47800,1,1
04/21/2000,47800,47800,47800,47800,846600,1
04/24/2000,46700,46700,46700,46700,1,1
